STROKE COUNT;RADICAL;VARIANT;ENGLISH;JYUTPING;Yale;ALSO CALLED
1;一;;one;jat1;yāt;
;丨;;line;gwan2;gwán;
;丶;;dot;zyu2;jyú;
;丿;乀 乁;slash;pit3;pit;
;乙;乚 乛 ⺄;second;jyut6;yuht;
;亅;;hook;kyut3;kyut;
2;二;;two;ji6;yih;
;亠;;lid;tau4;tàuh;
;人;亻;person;jan4;yàhn;企人邊(kei5 jan2 bin1)單企人(daan1 kei5 jan2)
;儿;;legs, son;jan4;yàhn;
;入;;enter, join;jap6;yahp;
;八;丷;eight;baat3;baat;
;冂;;wide;gwing2;gwíng;
;冖;;cloth cover;mik6;mihk;冧宮頭(lam1 gung1 tau2)
;冫;;ice;bing1;bīng;兩點水(loeng5 dim2 seoi2)
;几;;small table;gei1;gēi;
;凵;;open box;ham3;ham;
;刀;刂 ⺈;knife;dou1;dōu;
;力;;power, force;lik6;lihk;
;勹;;wrap;baau1;bāau;
;匕;;spoon, ladle;bei3;bei;
;匚;;box;fong1;fōng;
;匸;;hiding enclosure;hai5;háih;
;十;;ten, complete;sap6;sahp;
;卜;;divi\-na\-tion;buk1;būk;
;卩;㔾;seal;zit3;jit;
;厂;;cliff;hon3;hon;
;厶;;private;si1;sī;
;又;;again, right hand;jau6;yauh;
3;口;;mouth;hau2;háu;
;囗;;enclosure;wai4;wàih;
;土;;earth;tou2;tóu;
;士;;scholar, bachelor;si6;sih;
;夂;;go;zi2;jí;
;夊;;go slowly;seoi1;sēui;
;夕;;evening, sunset;zik6;jihk;
;大;;big, great;daai6;daaih;
;女;;woman, female;neoi5;néuih;
;子;;child, seed;zi2;jí;
;宀;;roof;min4;mìhn;
;寸;;inch, 37.1475mm;cyun3;chyun;
;小;⺌ ⺍;small;siu2;síu;
;尢;尣;lame;wong1;wōng;
;尸;;corpse;si1;sī;
;屮;;sprout;cit3;chit;
;山;;mountain;saan1;sāan;
;巛;川;river;cyun1;chyūn;
;工;;work;gung1;gūng;
;己;;oneself;gei2;géi;
;巾;;turban, scarf;gan1;gān;
;干;;dry, oppose;gon1;gōn;
;幺;么;short, tiny;jiu1;yīu;
;广;;house on cliff;gwong2;gwóng;
;廴;;long stride;jan5;yáhn;
;廾;;two hands, arch;gung2;gúng;
;弋;;shoot, arrow;jik6;yihk;
;弓;;bow;gung1;gūng;
;彐;彑;pig snout;gai3;gai;
;彡;;bristle, beard;saam1;sāam;
;彳;;step;cik1;chīk;雙企人(soeng1 kei5 jan2)
4;心;忄 ⺗;heart;sam1;sām;豎心邊(syu6 sam1 bin1)
;戈;;spear;gwo1;gwō;
;戶;户;door;wu6;wuh;
;手;扌 龵;hand;sau2;sáu;剔手邊(tik1 sau2 bin1)
;支;;branch;zi1;jī;
;攴;攵;rap, tap;pok3;pok;
;文;;script;man4;màhn;
;斗;;dipper;dau2;dáu;
;斤;;axe;gan1;gān;
;方;;square;fong1;fōng;
;无;旡;not;mou4;mòuh;
;日;;sun, day;jat6;yaht;
;曰;;say;joek6;yeuhk;
;月;;moon, month;jyut6;yuht;
;木;;tree;muk6;muhk;
;欠;;lack, owe, yawn;him3;him;
;止;;stop;zi2;jí;
;歹;歺;death;aat3;aat;
;殳;;weapon;syu4;syùh;
;毋;母;mother;mou4;mòuh;
;比;;compare;bei2;béi;
;毛;;fur;mou4;mòuh;
;氏;;clan;si6;sih;
;气;;steam, air;hei3;hei;
;水;氵 氺;water;seoi2;séui;三點水(saam1 dim2 seoi2)
;火;灬;fire;fo2;fó;
;爪;爫;claw;zaau2;jáau;
;父;;father;fu6;fuh;
;爻;;trigrams;ngaau4;ngàauh;
;爿;丬;split wood;coeng4;chèuhng;
;片;;slice, film;pin3;pin;
;牙;;tooth, fang;ngaa4;ngàh;
;牛;牜 ⺧;cow;ngau4;ngàuh;
;犬;犭;dog;hyun2;hyún;狗爪邊(gau2 zaau2 bin1)
5;玄;;profound, dark;jyun4;yùhn;
;玉;王 玊;jade;juk6;yuhk;
;瓜;;melon;gwaa1;gwā;
;瓦;;tile;ngaa5;ngáh;
;甘;;sweet;gam1;gām;
;生;;life;saang1;sāang;
;用;;use;jung6;yuhng;
;田;;field;tin4;tìhn;
;疋;;bolt of cloth \cfont{⺪};pat1;pāt;
;疒;;sickness;nik6;nihk;
;癶;;footsteps, legs;but6;buht;
;白;;white;baak6;baahk;
;皮;;skin, hide;pei4;pèih;
;皿;;dish;ming5;míhng;
;目;⺫;eye;muk6;muhk;
;矛;;spear;maau4;màauh;
;矢;;arrow;ci2;chí;
;石;;stone;sek6;sehk;
;示;礻;spirit;si6;sih;
;禸;;track, rump;jau5;yáuh;
;禾;;grain;wo4;wòh; *******************************
;穴;;cave;jyut6;yuht;
;立;;stand;laap6;laahp;
6;竹;⺮;bamboo;zuk1;jūk;竹花頭(zuk1 faa1 tau2)
;米;;rice;mai5;máih;
;糸;糹;silk;mik6;mihk;繑絲邊(kiu5 si1 bin1)
;缶;;jar;fau2;fáu;
;网;罒 罓 ⺳;net;mong5;móhng;
;羊;⺶ ⺷;sheep;joeng4;yèuhng;
;羽;;feather;jyu5;yúh;
;老;耂;old;lou5;lóuh;
;而;;and, but;ji4;yìh;
;耒;;plough;leoi6;leuih;
;耳;;ear;ji5;yíh;
;聿;⺺ ⺻;brush;wat6;waht;
;肉;⺼;meat;juk6;yuhk;
;臣;;minister, official;san4;sàhn;
;自;;self;zi6;jih;
;至;;arrive, most;zi3;ji;
;臼;;mortar, joint;kau5;káuh;
;舌;;tongue;sit3;sit;
;舛;;oppose;cyun2;chyún;
;舟;;boat;zau1;jāu;
;艮;;stopping;gan3;gan;
;色;;color, form;sik1;sīk;
;艸;艹;grass;cou2;chóu;草花頭(cou2 faa1 tau2)
;虍;;tiger;fu1;fū;
;虫;;insect, worm;cung4;chùhng;
;血;;blood;hyut3;hyut;
;行;;walk, go, do;hang4;hàhng;
;衣;衤;clothes;ji1;yī;禮衣邊(lai5 ji1 bin1)
;西;覀 襾;west;sai1;sāi;
7;見;;see;gin3;gin;
;角;⻇;horn;gok3;gok;
;言;訁;speech;jin4;yìhn;
;谷;;valley;guk1;gūk;
;豆;;bean;dau6;dauh;
;豕;;pig;ci2;chí;
;豸;;badger;zi6;jih;
;貝;;shell;bui3;bui;
;赤;;red, bare;cek3;chek;
;走;;run;zau2;jáu;
;足;⻊;foot;zuk1;jūk;
;身;;body;san1;sān;
;車;;cart, car;ce1;chē;
;辛;;bitter;san1;sān;
;辰;;morning;san4;sàhn;
;辵;辶 ⻍ ⻎;walk;coek3;cheuk;艇仔邊(teng5 zai2 bin1)撐艇仔(caang1 teng5 zai2)
;邑;;city\\\cfont{阝} (rhs);jap1;yāp;耳仔邊(ji5 zai2 bin1)
;酉;;alcohol, wine;jau5;yáuh;
;釆;;dis\-tin\-guish;bin6;bihn;
;里;;village, li=668.7m;lei5;léih;
8;金;;gold, metal \cfont{釒};gam1;gām;
;長;镸;long;coeng4;chèuhng;
;門;;gate, door;mun4;mùhn;
;阜;;mound, dam \cfont{⻖};fau6;fauh;耳仔邊(ji5 zai2 bin1)
;隶;;slave;dai6;daih;
;隹;;short-tailed bird;zeoi1;jēui;
;雨;⻗;rain;jyu5;yúh;
;青;靑;blue;cing1;chīng;
